Genes	Gene
b2551	glyA
b0870	ltaE
b3368	cysG
b2436	hemF
b3500	gor
b0945	pyrD
b4467	glcF
b4468	glcE
b2979	glcD
b3916	pfkA
b1260	trpA
b1261	trpB
b3426	glpD
b2242	glpB
b2243	glpC
b2241	glpA
b4054	tyrB
b3770	ilvE
b3281	aroE
b1692	ydiB
b0243	proA
b1613	manA
b0414	ribD
b3041	ribB
b0025	ribF
b0844	ybjI
b0446	cof
b3812	yigB
b1662	ribC
b0421	ispA
b3804	hemD
b3997	hemE
b4382	deoA
b0126	can
b0339	cynT
b4006	purH
b2508	guaB
b3846	fadB
b2341	fadJ
b2400	gltX
b3993	thiE
b2066	udk
b0238	gpt
b0125	hpt
b0474	adk
b2518	ndk
b1062	pyrC
b1281	pyrF
b0720	gltA
b1136	icd
b1241	adhE
b0351	mhpF
b4069	acs
b2502	ppx
b4226	ppa
b2744	umpG
b3403	pck
b1479	maeA
b1190	dadX
b4053	alr
b2379	alaC
b2290	alaA
b3564	xylB
b0063	araB
b3752	rbsK
b3926	glpK
b4383	deoB
b0928	aspC
b2930	yggF
b4232	fbp
b3697	yidA
b3925	glpX
b3430	glgC
b1854	pykA
b1676	pykF
b2708	gutQ
b3197	kdsD
b0071	leuD
b0072	leuC
b0077	ilvI
b0078	ilvH
b3671	ilvB
b3670	ilvN
b0908	aroA
b1263	trpD
b1264	trpE
b2599	pheA
b2600	tyrA
b2329	aroC
b1262	trpC
b2779	eno
b2925	fbaA
b2097	fbaB
b0963	mgsA
b1702	ppsA
b4025	pgi
b2926	pgk
b1850	eda
b0767	pgl
b3386	rpe
b2464	talA
b0008	talB
b2465	tktB
b2935	tktA
b0678	nagB
b1478	adhP
b4269	ahr
b0493	ybbO
b3588	aldB
b3003	yghA
b3011	yqhD
b3903	rhaA
b2411	ligA
b3996	nudC
b4390	nadR
b0639	nadD
b2103	thiD
b2418	pdxK
b3831	udp
b4384	deoD
b3073	patA
b3708	tnaA
b3008	metC
b3614	yibQ
b1134	nudJ
b3642	pyrE
b0415	ribE
b3771	ilvD
b2293	hxpA
b3885	yihX
b2579	grcA
b3114	tdcE
b3952	pflC
b0902	pflA
b0903	pflB
b3951	pflD
b4152	frdC
b4153	frdB
b4154	frdA
b4151	frdD
b0871	poxB
b2297	pta
b2458	eutD
b3115	tdcD
b1849	purT
b2296	ackA
b3633	waaA
b0174	ispU
b0524	lpxH
b0182	lpxB
b0915	lpxK
b2781	mazG
b0099	mutT
b0160	dgt
b0073	leuB
b1800	dmlA
b0523	purE
b1131	purB
b2407	xapA
b2235	nrdB
b3781	trxA
b2582	trxC
b2234	nrdA
b2827	thyA
b1238	tdk
b3639	dfp
b1232	purU
b1851	edd
b1693	aroD
b4146	epmB
b1004	wrbA
b3713	yieF
b1109	ndh
b0046	kefF
b3236	mdh
b1612	fumA
b1611	fumC
b4122	fumB
b1638	pdxH
b0907	serC
b1210	hemA
b3429	glgA
b3428	glgP
b3417	malP
b0428	cyoE
b0120	speD
b2937	speB
b4117	adiA
b3172	argG
b3958	argC
b0121	speE
b0154	hemL
b0918	kdsB
b4322	uxuA
b3091	uxaA
b3092	uxaC
b3176	glmM
b3730	glmU
b3189	murA
b3967	murI
b3786	wecB
b2323	fabB
b2232	ubiG
b0593	entC
b0142	folK
b3634	coaD
b0394	mak
b0173	dxr
b3843	ubiD
b0477	gsk
b1302	puuE
b2662	gabT
b1525	sad
b4139	aspA
b2797	sdaB
b3117	tdcB
b1814	sdaA
b4471	tdcG
b3616	tdh
b3589	yiaY
b3774	ilvC
b2316	accD
b3255	accB
b0185	accA
b3256	accC
b2615	nadK
b2265	menF
b2261	menC
b0596	entA
b0595	entB
b3583	sgbE
b0061	araD
b4198	ulaF
b4374	yjjG
b0675	umpH
