
Log for 'fba' Clone_2 (V12.10.0.0) Wed Nov 19 10:35:33 2025

Tried aggregator 1 time.
LP Presolve eliminated 742 rows and 990 columns.
Aggregator did 273 substitutions.
Reduced LP has 1157 rows, 14010 columns, and 60184 nonzeros.
Presolve time = 0.02 sec. (19.55 ticks)

Iteration log . . .
Iteration:     1    Infeasibility =       1807063.720445
Iteration:  1098    Infeasibility =        401434.370066
Iteration:  1274    Infeasibility =        340989.827459
Iteration:  1427    Infeasibility =        304547.010751
Iteration:  1559    Infeasibility =        280609.878633
Iteration:  1680    Infeasibility =        263626.372974
Iteration:  1792    Infeasibility =        249140.125868
Iteration:  1903    Infeasibility =        238037.419812
Iteration:  2034    Infeasibility =        226095.689669
Iteration:  2152    Infeasibility =        215909.038425
Iteration:  2266    Infeasibility =        206107.013965
Iteration:  2373    Infeasibility =        195370.929757
Iteration:  2479    Infeasibility =        189082.797729
Iteration:  2574    Infeasibility =        185498.591272
Iteration:  2671    Infeasibility =        179642.704523
Iteration:  2771    Infeasibility =        174294.854362
Iteration:  2869    Infeasibility =        170744.767420
Iteration:  2973    Infeasibility =        167147.163266
Iteration:  3078    Infeasibility =        163128.071730
Iteration:  3169    Infeasibility =        158753.195519
Iteration:  3279    Infeasibility =        155029.731364
Iteration:  3372    Infeasibility =        152350.117670
Iteration:  3471    Infeasibility =        148484.352549
Iteration:  3571    Infeasibility =        144866.084378
Iteration:  3665    Infeasibility =        142927.508499
Iteration:  3776    Infeasibility =        140223.578512
Iteration:  3887    Infeasibility =        136632.711888
Iteration:  3978    Infeasibility =        134099.167748
Iteration:  4086    Infeasibility =        130287.993920
Iteration:  4181    Infeasibility =        127101.034026
Iteration:  4277    Infeasibility =        124982.936613
Iteration:  4378    Infeasibility =        122481.939886
Iteration:  4475    Infeasibility =        120015.976807
Iteration:  4576    Infeasibility =        117251.503437
Iteration:  4689    Infeasibility =        114350.118394
Iteration:  4795    Infeasibility =        111639.152708
Iteration:  4897    Infeasibility =        109446.853355
Iteration:  5013    Infeasibility =        107085.557441
Iteration:  5107    Infeasibility =        104854.467964
Iteration:  5211    Infeasibility =        102845.432591
Iteration:  5314    Infeasibility =        101441.327447
Iteration:  5419    Infeasibility =         99873.124698
Iteration:  5513    Infeasibility =         98263.898409
Iteration:  5612    Infeasibility =         96556.161326
Iteration:  5712    Infeasibility =         95028.727131
Iteration:  5812    Infeasibility =         93134.679411
Iteration:  5913    Infeasibility =         91434.806055
Iteration:  6021    Infeasibility =         89571.221878
Iteration:  6126    Infeasibility =         87921.662364
Iteration:  6227    Infeasibility =         86106.198876
Iteration:  6322    Infeasibility =         84582.793629
Iteration:  6427    Infeasibility =         82947.350077
Iteration:  6524    Infeasibility =         81573.309307
Iteration:  6622    Infeasibility =         79937.776712
Iteration:  6725    Infeasibility =         78230.881906
Iteration:  6833    Infeasibility =         77033.196734
Iteration:  6938    Infeasibility =         75863.869983
Iteration:  7051    Infeasibility =         73977.872719
Iteration:  7149    Infeasibility =         72548.713302
Iteration:  7251    Infeasibility =         71408.351738
Iteration:  7345    Infeasibility =         69990.598594
