reactionsA/ECA	reactionsB/ECB	Tanimoto_FBI_Scores	 TL0	TL1	TL2	TL3	TL4	TL5	TL6	TL7
R10161(r)/1.3.1A1(rev)/1.3.1.95;	1/1.3.1A1(rev);	1	1	1	1	1	1	1	1	1
R00919(r)/1.3.1A2(rev)/1.3.1.84;	1/1.3.1A1(rev);	1	1	1	1	1	1	1	1	1
R09738(r)/1.3.1A2(rev)/1.3.1.86;	1/1.3.1A1(rev);	0.968992	1	0.909091	0.941176	0.96	0.942857	0.978261	0.981132	0.984127
R10828(r)/1.3.1A2(rev)/1.3.1.93;	1/1.3.1A1(rev);	0.968992	1	0.909091	0.941176	0.96	0.942857	0.978261	0.981132	0.984127
R01171(r)/1.3.1A1(rev)/1.3.1.44;	1/1.3.1A1(rev);	0.968992	1	0.909091	0.941176	0.96	0.942857	0.978261	0.981132	0.984127
R06985/1.3.1A2(rev)/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.922509	1	0.909091	0.888889	0.888889	0.891892	0.918367	0.928571	0.953846
R03776(r)/1.3.1A2(rev)/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.896057	1	0.909091	0.888889	0.888889	0.868421	0.882353	0.896552	0.911765
R04753(r)/1.3.1A2(rev)/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.886525	1	0.909091	0.888889	0.888889	0.868421	0.882353	0.881356	0.885714
R07761/1.3.1A2(rev)/1.3.1.38,1.3.1.93;	1/1.3.1A1(rev);	0.886525	1	0.909091	0.888889	0.888889	0.868421	0.882353	0.881356	0.885714
R05311(r)/1.3.1A1(rev)/1.3.1.62;	1/1.3.1A1(rev);	0.886525	1	0.909091	0.888889	0.888889	0.868421	0.865385	0.881356	0.898551
R03856(r)/1.3.1A2(rev)/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.886525	1	0.909091	0.888889	0.888889	0.868421	0.882353	0.881356	0.885714
R01278(r)/1.3.1A2(rev)/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.886525	1	0.909091	0.888889	0.888889	0.868421	0.882353	0.881356	0.885714
R03989(r)/1.3.1A2(rev)/1.3.1.38,1.3.1.8;	1/1.3.1A1(rev);	0.886525	1	0.909091	0.888889	0.888889	0.868421	0.882353	0.881356	0.885714
R04430(r)/1.3.1A2(rev)/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.873077	1	0.909091	0.833333	0.777778	0.805556	0.891304	0.903846	0.903226
R01404(r)/1.3.1A2(rev)/1.3.1.10,1.3.1.104,1.3.1.39;	1/1.3.1A1(rev);	0.873077	1	0.909091	0.833333	0.777778	0.805556	0.891304	0.903846	0.903226
R01403(r)/1.3.1A1(rev)/1.3.1.9;	1/1.3.1A1(rev);	0.873077	1	0.909091	0.833333	0.777778	0.805556	0.891304	0.903846	0.903226
R04429(r)/1.3.1A1(rev)/1.3.1.9;	1/1.3.1A1(rev);	0.873077	1	0.909091	0.833333	0.777778	0.805556	0.891304	0.903846	0.903226
R01689(r)/1.3.1A1(rev)/1.3.1.31;	1/1.3.1A1(rev);	0.861004	1	0.75	0.684211	0.769231	0.828571	0.911111	0.903846	0.903226
R10418(r)/1.3.1A2(rev)/1.3.1.103;	1/1.3.1A1(rev);	0.861004	1	0.75	0.65	0.740741	0.878788	0.911111	0.903846	0.903226
R04955(r)/1.3.1A1(rev)/1.3.1.9;	1/1.3.1A1(rev);	0.834559	1	0.909091	0.789474	0.724138	0.763158	0.836735	0.854545	0.888889
R04956(r)/1.3.1A2(rev)/1.3.1.10,1.3.1.104,1.3.1.39,2.3.1.85,2.3.1.86;	1/1.3.1A1(rev);	0.834559	1	0.909091	0.789474	0.724138	0.763158	0.836735	0.854545	0.888889
